word,definition,ner,root_word,pos
BISCUIT,"small unleavened, crisp cake",,biscuit,NN
UNDERSTAND,perceive intended meaning of,,understand,NN
HE,man or boy previously mentioned or easily identified,,he,PRP
EGGS,object laid by female bird,,egg,NNS
BOAST,talk with excessive pride and self-satisfaction about one's achievements or abilities,,boast,NN
MINUTE,a period of time equal to sixty seconds or a sixtieth of an hour,,minute,NN
BEHIND,at or to far side of,,behind,IN
USE,"take, hold, or deploy something as means of accomplishing or achieving something",,use,NN
ANNULMENT,act of annulling something,,annulment,NN
LAST,coming after all others,,last,JJ
WEAK,lacking power to perform physically demanding tasks,,weak,JJ
HUNGRY,feeling or showing hunger,,hungry,NN
MISCHIEVOUS,causing or intended to cause harm or trouble,,mischievous,JJ
FARMER,person who owns or manages farm,,farmer,NN
COOKIE,biscuit,,cookie,NN
FEBRUARY,"second month of year, in northern hemisphere",,february,JJ
YOU,used to refer to person or people that speaker is addressing,,you,PRP
DOT,small round mark,,dot,NN
GOVERNMENT,governing body of state,,government,NN
COURSE,series of lectures,,course,NN
SERVICES,action of helping or doing work for someone,,service,NNS
GOSSIP,engage in gossip,,gossip,NN
JUDGE,officer who decides cases in law court,,judge,NN
HAT,shaped covering for head,,hat,NN
SOON,in or after short time,,soon,RB
DOWN,towards or in lower position,,down,RB
CONNECT,bring together to form link,,connect,NN
FOURTH OF JULY,a national holiday in the US when people celebrate the anniversary of the Declaration of Independence ,,fourth of july,NN
BAKER,person whose trade is making and selling bread and cakes,,baker,NN
FOR FOR,having as reason or cause,,for for,NN
BAR,"counter in public house, restaurant, or cafe",,bar,NN
PRACTITIONER,"person actively engaged in art, discipline, or profession",,practitioner,NN
REVIEW,formal assessment of something with intention of instituting change if necessary,,review,NN
AWS,Amazon Web Service,I-ORG,aws,NNS
ENTRY,act of entering,,entry,NN
BETWEEN,in period separating events or times,,between,IN
PLACE,position or point,,place,NN
BILLION,thousand million,,billion,CD
INDIAN,native or national of India,I-MISC,indian,JJ
BAWLED OUT,formal expression of disapproval,,bawled out,NN
BREAKFAST,"meal eaten in morning, first of day",,breakfast,NN
you_know,intro to an important statement,,you_know,NN
STUBBORN,having or showing dogged determination not to change one's attitude or position on something,,stubborn,NN
BAHAMAS,country consisting of archipelago off SE coast of Florida,I-LOC,bahamas,NN
SUM,total amount resulting from addition of two or more numbers or items,,sum,NN
LIBRARY,building or room containing books etc.,,library,NN
BANKRUPT,declared as unable to pay debts,,bankrupt,NN
WATCH,small timepiece worn on strap on one's wrist,,watch,NN
ACCUSTOMED,customary,,accustomed,VBN
GAME,activity done for amusement,,game,NN
AMISH,members of strict Mennonite sect founded by Swiss preacher Jakob Amman or Amen,I-MISC,amish,JJ
HUMAN,human being,,human,NN
RED,"of colour at end of spectrum next to orange and opposite violet, as of blood or rubies",,red,JJ
PREDICT,say or estimate that specified thing will happen in future or will be consequence of something,,predict,NN
RECENT,"having happened, begun, or been done not long ago",,recent,JJ
EAGLE,large bird of prey,,eagle,NN
AMPUTEE,person who has had limb amputated,,amputee,NN
ELASTIC,flexible and adaptable,,elastic,JJ
BREAKING EYE CONTACT,state in which two people are aware of looking directly into one another's eyes and then away,,breaking eye contact,NN
MEMORIAL DAY,"a holiday in the US, usually the last Monday in May, in honour of members of the armed forces who have died in war",,memorial day,NN
ACQUIRE,buy or obtain asset or object for oneself,,acquire,VB
HIS,relating to male person or animal,,his,PRP$
RELATING,make or show a connection between,,relating,VBG
BASEMENT,floor of building which is partly or entirely below ground level,,basement,NN
TRAIN,a series of connected railway carriages or wagons moved by a locomotive or by integral motors,,train,NN
SUMMER,"warmest season of year, in northern hemisphere from June to August and in southern hemisphere",,summer,NN
ALL YEAR,period of 365 days starting from first of January,,all year,NN
SKATEBOARD,ride on skateboard,,skateboard,NN
BROCHURE,small book or magazine containing pictures and information,,brochure,NN
QUESTION,sentence worded or expressed so as to elicit information,,question,NN
TIE,achieve the same score or ranking as another competitor or team,,tie,NN
UNITY,the state of being united or joined as a whole,,unity,NN
SIDEBURN,strip of hair grown by man down each side of face in front of his ears,,sideburn,NN
AGENCY,provider of service,,agency,NN
CAN,have ability,,can,MD
INDIAN,relating to India,I-MISC,indian,JJ
RESPOND,do something as reaction to person or thing,,respond,NN
BRUSH,"an implement with a handle and a block of bristles, hair, or wire, used especially for cleaning, applying a liquid or powder to a surface, or arranging the hair",,brush,NN
OUTER,external,,outer,NN
BRAINSTORM,a spontaneous group discussion to produce ideas and ways of solving problems,,brainstorm,NN
EXCESS,amount that is more than necessary,,excess,NN
DEPLOY,bring into effective action,,deploy,NN
CAKE,sweet food,,cake,NN
MEAT,flesh of animal as food,,meat,NN
DRIVING,control and operation of motor vehicle,,driving,VBG
ANYTHING,"used to refer to thing, no matter what",,anything,NN
MODULE,standardized part used in construction of structure,,module,NN
AREA,region,,area,NN
SKY,region of atmosphere and outer space seen from earth,,sky,NN
TREE,woody perennial plant having trunk growing to considerable height,,tree,NN
ARCHITECT,design and configure,,architect,NN
THROUGH,moving in one side and out of other side of,,through,IN
BUMO,a protuberance on a level surface,,bumo,NN
NOT ENOUGH,lacking in what is necessary or required,,not enough,IN
ASSAULT,attack,,assault,NN
ANATOMY,study of the body,,anatomy,NN
TABLE UP,Lifting tabletop up,,table up,NN
PAST,gone by in time,,past,NN
PLAN,intention or decision,,plan,NN
SIGN,notice on public display that gives information or instructions in written or symbolic form,,sign,NN
CONSEQUENCE,result or effect,,consequence,NN
FOR,in support of or in favour of,,for,IN
WHERE,in or to what place or position,,where,WRB
COMPLETE,having all necessary parts,,complete,JJ
NOT YET,"not at the moment, has not happened",,not yet,RB
WEB,network of fine threads constructed by spider from fluid secreted by its spinnerets,,web,NN
DOZEN,group or set of twelve,,dozen,NN
CULTURE,"the ideas, customs, and social behaviour of a particular people or society",,culture,NN
MORE THAN,extremely,,more than,NN
SKILLED,"having or showing knowledge, ability, or training to perform certain activity or task well",,skilled,VBN
POLKA DOT,one of several round dots repeated to form regular pattern on fabric,,polka dot,NN
BOARD ROOM,"a room where a group of people conducts meetings, typically those elected by shareholders to manage a company.",,board room,NN
TEXAS,"state in southern US, on border with Mexico, with coastline on Gulf of Mexico",I-LOC,texas,NN
APE,large primate,,ape,NN
WHEN,at what time,,when,WRB
ARAB,"member of Semitic people, originally from Arabian peninsula and neighbouring territories",I-MISC,arab,NN
IMPOSSIBLE,"not able to occur, exist, or be done",,impossible,JJ
HALF BROTHER,a brother with whom one has only one parent in common,,half brother,NN
TIME WHAT?,What is the time?,,time what?,NN
HAZARD,danger or risk,,hazard,NN
THEM,used as object of verb or preposition to refer to two or more people,,them,PRP
PANAMA,country in Central America,I-LOC,panama,NN
GUARANTEE,"a formal assurance (typically in writing) that certain conditions will be fulfilled, especially that a product will be repaired or replaced if not of a specified quality",,guarantee,NN
LIVE,remain alive,,live,JJ
PULL OUT,act of pulling,,pull out,NN
LIZARD,reptile that has long body and tail and four legs,,lizard,NN
TOP,"highest or uppermost point, part",,top,NN
TAKE CARE,to be responsible for or to deal with a situation or task or informally say goodbye,,take care,NN
WISCONSIN,"state in northern US, bordering on Lakes Superior",I-LOC,wisconsin,NN
HOME,place where one lives permanently,,home,NN
IMMEDIATELY,at once,,immediately,RB
REMEMBER,have in or be able to bring to one's mind awareness of,,remember,VB
ACCORDING,as stated by,,according,VBG
SHADE,screen from direct light,,shade,NN
BASE,thing that something depends on,,base,NN
REVIEW,formal assessment of something with intention of instituting change if necessary,,review,NN
TRAVEL TO,make journey,,travel to,NN
DO YOU MIND,asking for permission to do something or about to make a request,,do you mind,NN
REMAINING,"still existing, present, or in use",,remaining,VBG
ANYPLACE,in or to any place,,anyplace,NN
POINT,direct someone's attention towards something by extending one's finger or something held in one's hand,,point,NN
GOAL,aim or desired result,,goal,NN
AWARE,having knowledge or perception of situation or fact,,aware,JJ
WHERE,in or to what place or position,,where,WRB
DULLES DCA AIRPORT,An airport in Washington,I-LOC,dulles dca airport,NN
CLOSED-MINDED,having or showing rigid opinions or a narrow outlook,,closed-minded,JJ
JUSTIFY,to have a valid reason to do something,,justify,NN
BEAM,radiant smile,,beam,NN
POWERFUL,having control and influence,,powerful,JJ
WATER,"colourless, transparent, odourless liquid",,water,NN
PASSAGE,a short extract from a book or other printed material,,passage,NN
STOVE,apparatus for cooking or heating that operates by burning fuel or using electricity,,stove,NN
SAD,feeling or showing sorrow,,sad,NN
BLAST,destructive wave from explosion,,blast,NN
BELOVED,dearly loved,,beloved,VBN
DIRECT,extending or moving from one place to another by the shortest way without changing direction or stopping,,direct,JJ
AREA,extent or measurement,,area,NN
PUT MASK ON CHILD,protective covering,,put mask on child,NN
SOLID,firm and stable in shape,,solid,JJ
NURSE,person trained to care for sick,,nurse,NN
BACKUP,copy of data,,backup,NN
EXPLORE,inquire into subject in detail,,explore,NN
COLD,low temperature,,cold,NN
SUMMARIZE,give brief statement of main points of,,summarize,VB
BRUNCH,a late morning meal eaten instead of breakfast and lunch,,brunch,NN
ALCOHOLISM,addiction to consumption of alcoholic drink,,alcoholism,NN
BLISS,perfect happiness,,bliss,NN
BED,piece of furniture for sleep or rest,,bed,NN
BORED,feeling weary and impatient,,bored,VBN
SAILBOAT,a boat propelled by sails; a sailing boat,,sailboat,NN
BRITTLE,hard but easily broken,I-PER,brittle,NN
PANCAKE,"thin, flat cake of batter",,pancake,NN
TOP,"highest or uppermost point, part",,top,NN
MICROWAVE,"electromagnetic wave with wavelength in range 0.001-0.3 m, shorter than that of normal radio wave but longer than those of infrared radiation",,microwave,NN
ANSWER,thing said in response to another,,answer,NN
RULE,exercise ultimate power or authority over,,rule,NN
FIFTH,constituting number five in sequence,,fifth,NN
A LOT,to a considerable degree or extent,,a lot,NN
PRESENTATION,"a speech or talk in which a new product, idea, or piece of work is shown and explained to an audience",,presentation,NN
UNTIL,up to,,until,IN
MISSING,not able to be found,,missing,VBG
ADAPT,make something suitable for new use or purpose,,adapt,NN
GOOGLE,search for information about person or thing on internet using Google,I-ORG,google,NN
SIT,be in position in which weight is supported by buttocks,,sit,NN
APPOINT,assign a role,,appoint,NN
ALLOW,let someone have or do,,allow,VB
ELECTION,formal choice by vote of person for political office,,election,NN
WYOMING,state in west central US,I-LOC,wyoming,VBG
RENT,pay someone for use of,,rent,NN
FLOAT,rest or move on surface or liquid,,float,NN
MINIMAL,"of a minimum amount, quantity, or degree; negligible",,minimal,NN
INFECTION,process of infecting or state of being infected,,infection,NN
PHARMACY,shop or hospital dispensary where medicinal drugs are prepared or sold,,pharmacy,NN
H STREET,"Neighborhood in Washington, D.C., United States",,h street,NN
STEPMOTHER,woman who is wife or partner of one's parent after divorce or death,,stepmother,NN
EXPENSIVE,costing lot of money,,expensive,JJ
LARGEST,"of considerable size, extent, etc.",,largest,JJS
SKI,travel over snow on skis; take part in the sport or recreation of skiing,,ski,NN
UNDERWEAR,clothing worn under other clothes,,underwear,JJ
TAKE ADVANTAGE OF OPPORTUNITY,lay hold of something with one's hands,,take advantage of opportunity,NN
COMPUTE,reckon or calculate,,compute,NN
GATE,hinged barrier used to close opening,,gate,NN
SEPARATE,cause to move or be apart,,separate,JJ
LINKS,relationship between things,,link,NNS
EXACT,precise,,exact,NN
EXPAND LIST,become or make a list larger,,expand list,NN
STEPFATHER,man who is husband or partner of one's parent after divorce or death,,stepfather,NN
PLANNING,process of making plans for something,,planning,NN
DON'T,do not,,don't,NN
DEFENCE,action of defending,,defence,NN
ACTIVITIES,condition in which things happen,,activity,NNS
ABOUT SCHOOL,about school,,about school,NN
PIECE,portion of object or of material,,piece,NN
NEXT TO,in or into position immediately to one side of,,next to,NN
