word,definition
STEPFATHER,man who is husband or partner of one's parent after divorce or death
PLANNING,process of making plans for something
DON'T,do not
DEFENCE,action of defending
ACTIVITIES,condition in which things happen
ABOUT SCHOOL,about school
PIECE,portion of object or of material
NEXT TO,in or into position immediately to one side of
CALLED,give a name
SUNNY,bright with sunlight
EXPERIMENT,scientific procedure
MEXICO,"country in North America, with extensive coastlines on Gulf of Mexico"
COLUMN,a vertical division of a page or text
ADULTERY,voluntary sexual intercourse between married person and person who is not their spouse
HEALTH,state of being free from illness or injury
ARM,upper limb
SHOPPING CART, a metal or plastic cart with four small wheels that is used for holding merchandise when shopping (as at a supermarket or department store)
DENTIST,person who is qualified to treat diseases and other conditions that affect teeth and gums
HEAD,"part of body containing brain, mouth, etc."
CAUTION,care taken to avoid danger or mistakes
TEST,"procedure intended to establish quality, performance, or reliability of something"
ADHESIVE,able to stick fast to surface or object
PRACTICE ,repeated exercise in an activity
NUMBER,quantity or amount
BE THERE,action or state of going regularly to or being present at place or event
BACK BUTTON,icon selected to return to previous page or screen
HAS,"possess, own, or hold."
LUNCH,meal eaten in middle of day
L,twelfth letter of alphabet
DIAPER,nappy
REVIEW,formal assessment of something with intention of instituting change if necessary
BALDERDASH,senseless talk or writing
ANTICIPATE,expect or predict
COOL,quality of being fashionably attractive or impressive
MORE,greater amount of
BOARDING,action of boarding vehicle
EACH,"to, for, or by every one of group"
SERVER,person or thing that serves
BUSY,having a great deal to do
KNOWLEDGE,information and skills acquired through experience and education
QUOTE,repeat or copy out
THREE HUNDRED,being one hundred more than two hundred
SEE,perceive with eyes
WHAT,asking for information specifying something
KNOWLEDGE,information and skills acquired through experience and education
GULLIBLE,easily persuaded to believe something
SCREEN,panel or area on electronic device on which images and data are displayed
BELONG,be property of
UKRAINE,country in eastern Europe
WHERE,in or to what place or position
END,final part
CONCEPT,abstract idea
IMPACT,action of one object striking another
SHY,nervous or timid in company of other people
HALF SISTER,sister with whom one has only one parent in common
WITHIN,inside
BOTANICAL,substance obtained from plant
HORSE,domesticated mammal used for riding
MEMES,humorous image etc. spread rapidly by internet users
WHERE,in or to what place or position
GO AHEAD,move from one place to another
COMPLEX,consisting of many different connected parts
EARN,obtain money in return for work
BATTLE,fight between large forces
ALTERATION,action or process of altering or being altered
PULL STRAP,act of pulling a strap
NATIONAL,relating to nation
ALCOHOL,colourless volatile flammable liquid which is intoxicating constituent of drinks
COOK,prepare food
ATTENTION,notice taken of someone
KNIFE,cutting instrument
HOW,in what way
END,final part
CLOUD-BASED,"(of digital data) stored, managed, and processed on a network of remote servers hosted on the internet, rather than on local servers or personal computers."
BLOOD PRESSURE,pressure of blood in circulatory system
COMMON,occurring or done often
HARDWARE,"tools, machinery, and other durable equipment"
WRITE,compose text or work for written or printed reproduction or publication
THAN,introducing second element in comparison
PROTECTIVE,intended to protect
AWFUL,very bad or unpleasant
CLINIC,place for medical help
ANNOUNCE,"make a formal public statement about a fact, occurrence, or intention"
TRUE BIZ,in solemn or considered manner
PROVE,demonstrate the truth or existence of (something) by evidence or argument
ANALYSIS,detailed examination
BABY WIPE,disposable cloth for cleaning babies
HILLY,naturally raised area of land
ACTRESS,female actor
MATURE,full-grown
SATISFY,"meet expectations, needs, or desires of"
GLOVE,covering for hand worn for protection against cold or dirt
MAGNIFYING GLASS,"a lens that produces an enlarged image, typically set in a frame with a handle and used to examine small or finely detailed things such as fingerprints and fine print"
FAMOUS,known about by many people
ADDRESS,particulars of place
YOUR,belonging to or associated with person or people that speaker is addressing
HAVE,"possess, own, or hold"
EXPLANATION,statement or account that makes something clear
RULE,control of or dominion over area or people
CERTIFIED,officially recognized as possessing certain qualifications
ACCOMPLISH,achieve or complete successfully
GAY,homosexual
MEAN,intend to refer to particular thing
MUSIC,sound produced by instruments
WHEN,at what time
BEFORE,during period of time preceding particular event
OVERHEAD,above level of head
AILMENT,illness
TRUE,in accordance with fact or reality
BARRIER,fence or other obstacle that prevents movement or access
CODING,writing of code for computer programs
SECURE,certain to remain safe and unthreatened
BELIEF,acceptance that something exists or is true
REFRIGERATOR,appliance or compartment which is artificially kept cool and used to store food and drink
SCREEN,panel or area on electronic device on which images and data are displayed
EC2,"Amazon web service that provides secure, resizable compute capacity in the cloud."
SEE,perceive with eyes
PULL CORD,cord that operates mechanism when pulled
5 HAND 2,five hand listing to two
WALK,move at regular pace by lifting and setting down each foot in turn
HIS,referring to things belonging to male previously mentioned
STATE,nation or territory considered as organized political community under one government
COVER,put something over or in front of
NEAREST,located short distance away
ACCUMULATE,gather together or acquire increasing number or quantity of
STRUCTURE,arrangement of and relations between parts or elements of something complex
SKY,region of atmosphere and outer space seen from earth
GARAGE,building for housing motor vehicle
RESEARCH,systematic investigation into and study of materials and sources
SCALE,climb up or over
ALWAYS,at all times
WILLING,"ready, eager, or prepared to do something"
AMERICAN,relating to or characteristic of United States or its inhabitants
UNCLE,brother of one's father or mother or husband of one's aunt
TOP LEFT CORNER,Top left corner of the screen
WHERE,in or to what place or position
RECIPE,set of instructions for preparing particular dish
STRUCTURES,building or other object constructed from several parts
STAY,remain in same place
TRAINING,action of teaching person or animal particular skill or type of behaviour
JACKET,outer garment
AUDIOLOGIST,a person with specialized training in the science and medicine of hearing and balance
ME,used by speaker to refer to himself or herself as object of verb or preposition
ABC LETTER,alphabet
SECURE,certain to remain safe and unthreatened
RADAR,"system for detecting presence, direction, distance, and speed of objects"
CAMEL,mammal
EXTRA,additional
SHERIFF,"elected officer in county, responsible for keeping peace"
BEAUTIFUL,pleasing senses or mind aesthetically
FAST,moving at high speed
AUSTRIA,republic in central Europe
BOEREWORS,type of traditional sausage
BASTING,"tack with long, loose stitches in preparation for sewing"
SALAD,cold dish of various mixtures of raw or cooked vegetables
EQUALITY,symbolic expression of fact that two quantities are equal
AUTOGRAPH,signature
LESSON,period of learning or teaching
ALOE,succulent plant with rosette of thick tapering leaves and bell-shaped or tubular flowers on long stems
SNEEZE,act or sound of expelling air from nose in such way
DINING,activity of eating meal
CLIFF,steep rock face
SALON,"establishment where hairdresser, beautician, or couturier conducts trade"
AFTERNOON,time from noon or lunchtime to evening
TRIPLE,become three times as much or as many
CALCULATE,determine (the amount or number of something) mathematically
BOYFRIEND,person's regular male companion with whom they have romantic or sexual relationship
